"longitude","latitude"
22.6838,75.6702
22.7263,75.8914
22.7702,76.1126
22.8156,76.3339
22.8624,76.5554
22.9108,76.7769
22.9609,76.9985
23.0128,77.2202
23.0665,77.442
23.1221,77.6638
23.1798,77.8858
23.2397,78.1078
23.3019,78.3299
23.3665,78.5521
23.4336,78.7743
23.5035,78.9966
23.5763,79.219
23.6522,79.4415
23.9005,80.1091
23.9909,80.3318
24.0856,80.5545
24.1849,80.7773
24.2891,81.0001
24.3987,81.2229
24.514,81.4458
24.6355,81.6687
24.7636,81.8916
24.8991,82.1146
25.0424,82.3375
25.1944,82.5605
25.3558,82.7834
25.5275,83.0064
25.7106,83.2293
25.9061,83.4523
26.1155,83.6751
26.3402,83.898
26.5819,84.1208
26.8428,84.3435
27.125,84.5662
27.4314,84.7887
27.7652,85.0111
192.2348,85.0111
192.5686,84.7887
192.875,84.5662
193.1572,84.3435
193.4181,84.1208
193.6598,83.898
193.8845,83.6751
194.0939,83.4523
194.2894,83.2293
194.4725,83.0064
194.6442,82.7834
194.8056,82.5605
194.9575,82.3375
195.1009,82.1146
195.2363,81.8916
195.3645,81.6687
195.486,81.4458
195.6013,81.2229
195.7109,81.0001
195.8151,80.7773
195.9144,80.5545
196.0091,80.3318
196.0995,80.1091
196.1859,79.8865
196.2686,79.6639
196.3478,79.4415
196.4237,79.219
196.4965,78.9966
196.5664,78.7743
196.6335,78.5521
196.6981,78.3299
196.7603,78.1078
196.8202,77.8858
196.8779,77.6638
196.9335,77.442
196.9872,77.2202
197.0391,76.9985
197.0892,76.7769
197.1376,76.5554
197.1844,76.3339
197.2298,76.1126
197.2737,75.8914
197.3162,75.6702
197.3575,75.4492
197.3974,75.2282
197.4362,75.0074
197.4739,74.7867
197.5105,74.5661
197.546,74.3455
197.5805,74.1251
197.614,73.9048
197.6467,73.6847
197.6785,73.4646
197.7094,73.2447
197.7395,73.0248
197.7688,72.8051
197.7974,72.5856
197.8253,72.3661
197.8524,72.1468
197.8789,71.9276
197.9047,71.7085
197.93,71.4896
197.9546,71.2708
197.9786,71.0521
198.0021,70.8336
198.0251,70.6152
198.0475,70.3969
198.0694,70.1788
198.3477,66.9249
198.3634,66.7093
198.3789,66.4938
198.394,66.2785
198.4089,66.0633
198.5057,64.562
198.5185,64.3482
198.5312,64.1346
198.5436,63.9212
198.5559,63.708
198.5679,63.4949
198.7982,58.6486
198.8065,58.4403
198.8147,58.2323
21.9921,64.5555
22.0095,64.7693
22.0273,64.9834
22.0454,65.1976
22.0638,65.4121
22.6026,70.3882
22.9357,72.5757
22.9737,72.7952
23.0128,73.0147
23.0529,73.2344
23.0941,73.4542
23.1364,73.6741
23.1798,73.8941
23.2245,74.1143
23.2705,74.3345
23.3178,74.5549
23.3665,74.7753
23.4166,74.9959
23.4682,75.2165
23.5214,75.4373
23.5763,75.6581
23.6329,75.8791
23.6914,76.1001
23.7517,76.3212
23.8141,76.5424
23.8785,76.7637
23.9452,76.9851
24.0142,77.2066
24.0856,77.4281
24.1596,77.6497
24.2364,77.8714
24.316,78.0931
24.3987,78.3149
24.4846,78.5368
24.5739,78.7588
24.6669,78.9808
24.7636,79.2028
24.8645,79.4249
25.1944,80.0914
